time,open,close,low,high,volume
1741913700,81595.34000000,81503.31000000,81500.00000000,81694.41000000,30.33678000
1741914000,81503.31000000,81333.33000000,81333.33000000,81506.52000000,42.10074000
1741914300,81333.34000000,81339.89000000,81206.04000000,81393.72000000,97.54511000
1741914600,81339.90000000,81423.70000000,81265.00000000,81442.25000000,35.35535000
1741914900,81423.69000000,81292.93000000,81264.36000000,81423.69000000,24.35393000
1741915200,81292.92000000,81363.41000000,81271.24000000,81374.57000000,19.22371000
1741915500,81363.41000000,81434.42000000,81363.40000000,81474.18000000,23.36274000
1741915800,81434.43000000,81681.67000000,81434.43000000,81681.67000000,35.60775000
1741916100,81681.67000000,81630.52000000,81594.33000000,81711.91000000,39.80486000
1741916400,81630.52000000,81819.18000000,81622.24000000,81840.00000000,81.88436000
1741916700,81819.18000000,81716.00000000,81707.26000000,81876.17000000,72.54403000
1741917000,81716.00000000,81678.74000000,81643.37000000,81734.80000000,21.61839000
1741917300,81678.73000000,81603.08000000,81562.26000000,81681.22000000,13.11704000
1741917600,81603.07000000,81685.13000000,81588.51000000,81712.75000000,18.22934000
1741917900,81685.13000000,81611.74000000,81605.92000000,81735.85000000,28.89992000
1741918200,81611.73000000,81722.00000000,81611.73000000,81733.93000000,18.28439000
1741918500,81722.01000000,81701.11000000,81688.08000000,81791.00000000,15.85027000
1741918800,81701.12000000,81836.44000000,81669.40000000,81847.39000000,23.03569000
1741919100,81836.44000000,81873.46000000,81814.19000000,81959.51000000,45.46612000
1741919400,81873.47000000,81794.47000000,81688.67000000,81899.65000000,52.93840000
1741919700,81794.46000000,81929.48000000,81741.91000000,81936.02000000,37.93684000
1741920000,81929.49000000,81840.00000000,81789.96000000,81931.76000000,48.64175000
1741920300,81840.00000000,81973.12000000,81802.21000000,82011.72000000,197.35426000
1741920600,81973.13000000,82113.20000000,81949.42000000,82172.31000000,112.74694000
1741920900,82113.21000000,82226.98000000,82010.17000000,82270.51000000,115.51824000
1741921200,82226.98000000,82020.21000000,82020.20000000,82247.70000000,47.03561000
1741921500,82020.21000000,82018.87000000,81973.84000000,82075.52000000,40.44334000
1741921800,82018.86000000,82099.99000000,81993.05000000,82100.00000000,22.81791000
1741922100,82100.00000000,82044.96000000,82044.95000000,82194.39000000,33.05676000
1741922400,82044.95000000,82012.68000000,81981.70000000,82088.37000000,29.87305000
1741922700,82012.68000000,82018.86000000,81982.15000000,82139.97000000,113.65161000
1741923000,82018.86000000,81912.38000000,81828.00000000,82018.87000000,133.10223000
1741923300,81912.38000000,81919.19000000,81847.36000000,81964.93000000,71.65296000
1741923600,81921.63000000,81813.36000000,81798.80000000,81960.00000000,146.50284000
1741923900,81813.36000000,81791.19000000,81708.96000000,81877.36000000,80.01258000
1741924200,81791.20000000,81839.98000000,81716.71000000,81839.99000000,56.06443000
1741924500,81839.98000000,81888.77000000,81818.71000000,81891.69000000,29.64985000
1741924800,81888.77000000,81953.58000000,81888.76000000,81994.55000000,40.77205000
1741925100,81953.58000000,81977.89000000,81873.18000000,81987.69000000,20.96087000
1741925400,81977.88000000,82008.36000000,81955.09000000,82018.92000000,23.38964000
1741925700,82008.36000000,81938.91000000,81938.90000000,82040.00000000,26.73364000
1741926000,81938.90000000,81977.44000000,81874.54000000,81992.77000000,40.23987000
1741926300,81977.45000000,82003.31000000,81924.52000000,82008.58000000,62.63672000
1741926600,82003.31000000,81940.64000000,81922.45000000,82033.25000000,55.74442000
1741926900,81940.63000000,81897.88000000,81886.09000000,81975.55000000,21.06444000
1741927200,81897.89000000,81892.00000000,81841.99000000,81949.02000000,28.18819000
1741927500,81892.00000000,81952.27000000,81891.99000000,81999.00000000,23.81279000
1741927800,81952.26000000,81949.31000000,81931.17000000,81971.68000000,8.63971000
1741928100,81949.30000000,81948.16000000,81902.18000000,81971.02000000,19.12757000
1741928400,81948.17000000,81945.74000000,81924.86000000,81994.69000000,21.96711000
1741928700,81945.75000000,81987.56000000,81945.74000000,82000.00000000,17.53872000
1741929000,81987.55000000,81830.22000000,81820.22000000,81987.55000000,49.71115000
1741929300,81830.22000000,81917.07000000,81830.22000000,81959.38000000,46.52350000
1741929600,81917.07000000,81954.40000000,81911.48000000,81965.04000000,118.85048000
1741929900,81954.40000000,81976.11000000,81954.39000000,82000.00000000,42.38468000
1741930200,81976.10000000,81990.00000000,81940.00000000,81996.94000000,81.86036000
1741930500,81989.99000000,82024.56000000,81983.02000000,82037.99000000,86.47226000
1741930800,82024.56000000,82091.24000000,82024.55000000,82127.53000000,43.07190000
